#s   t    P_ref      d=0.05                d=0.1                 d=0.15                d=0.2                 d=0.25                d=0.3                 d=0.35                d=0.4                 d=0.45                d=0.5                 
0    0    0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.650532              0.650532              0.650532              
0    1    0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.642574              0.642574              0.642574              
0    3    0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.613399              0.613399              0.613399              
0    5    0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.229301              0.229301              0.229301              
0    6    0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.356896              0.236942              0.236942              
0    7    0.0        0.766956              0.766956              0.766956              0.766956              0.766956              0.766956              0.766956              0.0                   0.0                   0.0                   
1    0    0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.937182              
1    1    0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.925716              
1    3    0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.883687              
1    4    0.0        0.0                   0.0                   0.0                   0.0                   0.742167              0.742167              0.742167              0.742167              0.742167              0.0                   
1    5    0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.33034               
1    6    0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.341347              
2    0    0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.758001              0.758001              0.688909              0.688909              
2    1    0.0        0.0                   0.748728              0.748728              0.748728              0.748728              0.748728              0.748728              0.748728              0.680481              0.680481              
2    2    0.0        0.0                   0.372549              0.372549              0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   
2    3    0.0        0.0                   0.714734              0.714734              0.714734              0.714734              0.714734              0.714734              0.714734              0.649585              0.649585              
2    4    0.0        0.0                   0.598471              0.598471              0.598471              0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   
2    5    0.0        0.0                   0.267182              0.267182              0.267182              0.267182              0.267182              0.267182              0.267182              0.242828              0.242828              
2    6    0.0        0.0                   0.356422              0.356422              0.356422              0.356422              0.356422              0.415856              0.415856              0.591167              0.591167              
3    0    0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.631187              0.631187              0.69449               0.69449               
3    1    0.750733   -0.125873             -0.108448             -0.108448             -0.127268             -0.127268             -0.127268             -0.127268             -0.127268             -0.06474              -0.06474              
