#s   t    P_ref      d=0.05                d=0.1                 d=0.15                d=0.2                 d=0.25                d=0.3                 d=0.35                d=0.4                 d=0.45                d=0.5                 
3    0    0.0        0.916212              0.916212              0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.821583              
3    1    0.750733   0.027873              0.027873              -0.750733             -0.750733             -0.750733             -0.750733             -0.750733             -0.750733             -0.750733             0.036614              
3    2    0.373547   0.013869              0.013869              -0.373547             -0.373547             -0.373547             -0.373547             -0.373547             -0.373547             -0.373547             0.018219              
3    3    0.716648   0.026607              0.026607              -0.716648             -0.716648             -0.716648             -0.716648             -0.716648             -0.716648             -0.716648             0.13683               
3    4    0.600074   0.02228               0.02228               -0.600074             -0.600074             -0.600074             -0.600074             -0.600074             -0.600074             -0.600074             0.029267              
3    5    0.267898   0.00994599999999995   0.00994599999999995   -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             0.013065              
3    6    0.357376   0.013269              0.013269              -0.357376             -0.357376             -0.357376             -0.357376             -0.357376             -0.357376             -0.357376             0.0174299999999999    
3    7    0.562156   -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             
3    8    0.652373   -0.652373             -0.652373             -0.652373             -0.652373             -0.652373             -0.652373             -0.652373             -0.652373             -0.652373             -0.652373             
3    10   0.608365   -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             
3    11   0.601951   -0.601951             -0.601951             -0.601951             -0.601951             -0.601951             -0.601951             -0.601951             -0.601951             -0.601951             -0.601951             
4    0    0.0        0.0                   0.0                   0.902989              0.902989              0.902989              0.902989              0.902989              0.902989              0.902989              0.902989              
4    1    0.87054    -0.87054              -0.87054              -0.103172             -0.103172             -0.00517899999999993  -0.00517899999999993  -0.00517899999999993  -0.00517899999999993  -0.00517899999999993  -0.00517899999999993  
4    2    0.43316    -0.43316              -0.43316              -0.051335             -0.051335             -0.00257599999999997  -0.00257599999999997  -0.00257599999999997  -0.00257599999999997  -0.00257599999999997  -0.00257599999999997  
4    3    0.831015   -0.831015             -0.831015             -0.098487             -0.098487             -0.00494299999999992  0.10703               0.10703               0.10703               0.10703               0.10703               
4    4    0.695838   -0.695838             -0.695838             -0.082467             -0.082467             -0.004139             -0.004139             -0.004139             -0.004139             -0.004139             -0.004139             
4    5    0.31065    -0.31065              -0.31065              -0.036816             -0.036816             -0.00184799999999996  -0.00184799999999996  -0.00184799999999996  -0.00184799999999996  -0.00184799999999996  -0.00184799999999996  
4    6    0.414409   -0.414409             -0.414409             -0.049113             -0.049113             -0.00246500000000005  -0.00246500000000005  -0.00246500000000005  -0.00246500000000005  -0.00246500000000005  -0.00246500000000005  
4    8    0.756482   0.0                   0.0                   0.0                   0.0                   -0.756482             -0.756482             -0.756482             -0.756482             -0.756482             -0.756482             
7    0    0.0        0.0                   0.0                   0.81853               0.81853               0.81853               0.81853               0.0                   0.0                   0.0                   0.0                   
7    1    0.789116   -0.789116             -0.789116             -0.0935210000000001   -0.0935210000000001   -0.00469400000000009  -0.00469400000000009  -0.789116             -0.789116             -0.789116             -0.789116             
7    2    0.392646   -0.392646             -0.392646             -0.046534             -0.046534             -0.002336             -0.002336             -0.392646             -0.392646             -0.392646             -0.392646             
7    3    0.753288   -0.753288             -0.753288             -0.089275             -0.089275             -0.00448099999999996  0.0970190000000001    -0.753288             -0.753288             -0.753288             -0.753288             
7    4    0.630755   -0.630755             -0.630755             -0.074754             -0.074754             -0.00375300000000001  -0.00375300000000001  -0.630755             -0.630755             -0.630755             -0.630755             
7    5    0.281594   -0.281594             -0.281594             -0.033372             -0.033372             -0.00167500000000004  -0.00167500000000004  -0.281594             -0.281594             -0.281594             -0.281594             
7    6    0.375648   -0.375648             -0.375648             -0.044519             -0.044519             -0.00223399999999996  -0.00223399999999996  -0.375648             -0.375648             -0.375648             -0.375648             
7    7    0.590897   0.0                   -0.590897             -0.590897             -0.590897             -0.590897             -0.590897             -0.590897             -0.590897             -0.590897             -0.590897             
7    8    0.685727   0.0                   0.0                   0.0                   0.0                   -0.685727             -0.685727             -0.685727             -0.685727             -0.685727             -0.685727             
7    10   0.639469   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   -0.639469             -0.639469             -0.639469             -0.639469             
7    11   0.632728   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   -0.632728             -0.632728             -0.632728             -0.632728             
8    0    0.0        0.916212              0.916212              0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.821583              
8    1    0.750733   0.027873              0.027873              -0.750733             -0.750733             -0.750733             -0.750733             -0.750733             -0.750733             -0.750733             0.036614              
8    2    0.373547   0.013869              0.013869              -0.373547             -0.373547             -0.373547             -0.373547             -0.373547             -0.373547             -0.373547             0.018219              
8    3    0.716648   0.026607              0.026607              -0.716648             -0.716648             -0.716648             -0.716648             -0.716648             -0.716648             -0.716648             0.13683               
8    4    0.600074   0.02228               0.02228               -0.600074             -0.600074             -0.600074             -0.600074             -0.600074             -0.600074             -0.600074             0.029267              
8    5    0.267898   0.00994599999999995   0.00994599999999995   -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             0.013065              
8    6    0.357376   0.013269              0.013269              -0.357376             -0.357376             -0.357376             -0.357376             -0.357376             -0.357376             -0.357376             0.0174299999999999    
8    7    0.562156   -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             
8    8    0.652373   -0.652373             -0.652373             -0.652373             -0.652373             -0.652373             -0.652373             -0.652373             -0.652373             -0.652373             -0.652373             
