#d    avg                    abs_avg                norm
0.05  -0.06826595312499999   0.102745796875         1.8225439195846556
0.1   -0.425165109375        0.4520968593750001     4.195838166283228
0.15  -0.24317890624999997   0.2905082500000001     3.301006156385353
0.2   -0.44603221875000004   0.49246759375000004    4.353516010478198
0.25  -0.505133078125        0.5388435156250001     4.640307027755491
0.3   -0.478632546875        0.523680265625         4.55499752235465
0.35  -0.3198324062499999    0.41716487499999994    3.938030699316348
0.4   -0.436620015625        0.460844984375         4.164213239266092
0.45  -0.45747296875         0.51071471875          4.478870637797212
0.5   -0.480468015625        0.49864848437500003    4.530240331857793
