#s   t    P_ref      d=0.05                d=0.1                 d=0.15                d=0.2                 d=0.25                d=0.3                 d=0.35                d=0.4                 d=0.45                d=0.5                 
1    1    0.0        0.0                   0.0                   0.922936              0.922936              0.922936              0.922936              0.0                   0.0                   0.0                   0.0                   
1    2    0.0        0.0                   0.0                   0.459232              0.459232              0.459232              0.459232              0.0                   0.0                   0.0                   0.0                   
1    3    0.0        0.0                   0.0                   0.881033              0.881033              0.881033              0.881033              0.0                   0.0                   0.0                   0.0                   
1    4    0.0        0.0                   0.0                   0.73772               0.73772               0.73772               0.73772               0.0                   0.0                   0.0                   0.0                   
1    6    0.0        0.0                   0.0                   0.439352              0.439352              0.439352              0.439352              0.442                 0.442                 0.0                   0.0                   
1    7    0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.844509              0.844509              
1    8    0.0        0.0                   0.0                   0.77189               0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   
2    1    0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.76894               0.76894               0.76894               0.76894               0.76894               
2    2    0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.382607              0.382607              0.382607              0.382607              0.382607              
2    3    0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.734028              0.734028              0.734028              0.734028              0.734028              
2    4    0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.614627              0.614627              0.614627              0.614627              0.614627              
2    5    0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.274954              0.274954              0.274954              0.274954              0.274954              
2    6    0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.366044              0.0                   0.0                   0.0                   0.0                   
2    7    0.0        0.0                   0.0                   0.0                   0.790674              0.790674              0.0                   0.0                   0.0                   0.0                   0.0                   
2    11   0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.814628              0.814628              0.814628              0.814628              
3    1    0.750733   0.027738              0.027738              0.027738              0.027738              0.027738              0.027738              0.027738              0.027738              0.027738              0.027738              
3    2    0.373547   0.013802              0.013802              0.013802              0.013802              0.013802              0.013802              0.013802              0.013802              0.013802              0.013802              
3    3    0.716648   0.026479              0.026479              0.026479              0.026479              0.026479              0.026479              0.026479              0.026479              0.026479              0.026479              
3    4    0.600074   0.022172              0.022172              0.022172              0.022172              0.022172              0.022172              0.022172              0.022172              0.022172              0.022172              
3    5    0.267898   -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             
3    6    0.357376   0.013205              0.013205              0.013205              0.013205              0.013205              0.013205              -0.357376             -0.357376             -0.357376             -0.357376             
3    7    0.562156   0.0                   0.0                   0.0                   -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             
3    8    0.652373   -0.001305             -0.001305             -0.001305             -0.652373             -0.652373             -0.652373             -0.652373             -0.652373             -0.652373             -0.652373             
3    10   0.608365   0.0                   -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             
3    11   0.601951   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   -0.601951             -0.601951             -0.601951             -0.601951             
4    1    0.87054    0.0                   0.0                   0.0                   0.0                   0.032133              0.032133              0.032133              0.032133              0.032133              0.032133              
4    2    0.43316    0.0                   0.0                   0.0                   0.0                   0.015989              0.015989              0.015989              0.015989              0.015989              0.015989              
4    3    0.831015   0.0                   0.0                   0.0                   0.0                   0.0306740000000001    0.0306740000000001    0.0306740000000001    0.0306740000000001    0.0306740000000001    0.0306740000000001    
4    4    0.695838   0.0                   0.0                   0.0                   0.0                   0.025684              0.025684              0.025684              0.025684              0.025684              0.025684              
4    5    0.31065    0.012124              0.012124              0.012124              0.012124              0.012124              0.012124              0.012124              0.012124              0.012124              0.012124              
4    6    0.414409   0.0                   0.0                   0.0                   0.0                   0.015296              0.015296              -0.414409             -0.414409             -0.414409             -0.414409             
4    8    0.756482   -0.0284139999999999   -0.0284139999999999   -0.0284139999999999   -0.756482             -0.756482             -0.756482             -0.756482             -0.756482             -0.756482             -0.756482             
4    11   0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.956307              0.956307              0.956307              0.956307              
7    1    0.789116   0.029157              0.029157              0.029157              0.029157              0.029157              0.029157              0.029157              0.029157              0.029157              0.029157              
7    2    0.392646   0.014507              0.014507              0.014507              0.014507              0.014507              0.014507              0.014507              0.014507              0.014507              0.014507              
7    3    0.753288   0.027833              0.027833              0.027833              0.027833              0.027833              0.027833              0.027833              0.027833              0.027833              0.027833              
7    4    0.630755   0.023305              0.023305              0.023305              0.023305              0.023305              0.023305              0.023305              0.023305              0.023305              0.023305              
7    5    0.281594   -0.281594             -0.281594             -0.281594             -0.281594             -0.281594             -0.281594             -0.281594             -0.281594             -0.281594             -0.281594             
7    6    0.375648   0.01388               0.01388               0.01388               0.01388               0.01388               0.01388               -0.375648             -0.375648             -0.375648             -0.375648             
7    7    0.590897   0.0                   0.0                   0.0                   -0.590897             -0.590897             -0.590897             -0.590897             -0.590897             -0.590897             -0.590897             
7    8    0.685727   -0.00137199999999993  -0.00137199999999993  -0.00137199999999993  -0.685727             -0.685727             -0.685727             -0.685727             -0.685727             -0.685727             -0.685727             
7    10   0.639469   0.0                   -0.639469             -0.639469             -0.639469             -0.639469             -0.639469             -0.639469             -0.639469             -0.639469             -0.639469             
7    11   0.632728   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   -0.632728             -0.632728             -0.632728             -0.632728             
8    1    0.750733   0.027738              0.027738              0.027738              0.027738              0.027738              0.027738              0.027738              0.027738              0.027738              0.027738              
8    2    0.373547   0.013802              0.013802              0.013802              0.013802              0.013802              0.013802              0.013802              0.013802              0.013802              0.013802              
8    3    0.716648   0.026479              0.026479              0.026479              0.026479              0.026479              0.026479              0.026479              0.026479              0.026479              0.026479              
8    4    0.600074   0.022172              0.022172              0.022172              0.022172              0.022172              0.022172              0.022172              0.022172              0.022172              0.022172              
8    5    0.267898   -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             
8    6    0.357376   0.013205              0.013205              0.013205              0.013205              0.013205              0.013205              -0.357376             -0.357376             -0.357376             -0.357376             
8    7    0.562156   0.0                   0.0                   0.0                   -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             
8    8    0.652373   -0.001305             -0.001305             -0.001305             -0.652373             -0.652373             -0.652373             -0.652373             -0.652373             -0.652373             -0.652373             
8    10   0.608365   0.0                   -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             
8    11   0.601951   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   -0.601951             -0.601951             -0.601951             -0.601951             
9    1    0.792059   0.0                   0.0                   0.0                   0.0                   0.029236              -0.792059             -0.792059             -0.792059             -0.792059             -0.792059             
9    2    0.39411    0.0                   0.0                   0.0                   0.0                   0.014547              -0.39411              -0.39411              -0.39411              -0.39411              -0.39411              
9    3    0.756098   0.0                   0.0                   0.0                   0.0                   0.0279079999999999    -0.756098             -0.756098             -0.756098             -0.756098             -0.756098             
9    4    0.633107   0.0                   0.0                   0.0                   0.0                   0.023369              -0.633107             -0.633107             -0.633107             -0.633107             -0.633107             
9    5    0.282645   0.01103               0.01103               0.01103               0.01103               0.01103               -0.282645             -0.282645             -0.282645             -0.282645             -0.282645             
9    6    0.377049   0.0                   0.0                   0.0                   0.0                   0.013918              -0.377049             -0.377049             -0.377049             0.064951              0.064951              
9    7    0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.844509              0.844509              0.844509              0.0                   0.0                   
9    8    0.688284   -0.025852             -0.025852             -0.025852             -0.688284             -0.688284             -0.688284             -0.688284             -0.688284             -0.688284             -0.688284             
10   1    0.925716   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   
10   2    0.460615   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   
10   3    0.883687   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   
10   4    0.739942   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   
10   5    0.33034    -0.33034              -0.33034              -0.33034              -0.33034              -0.33034              -0.33034              -0.33034              -0.33034              -0.33034              -0.33034              
10   6    0.440675   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   -0.440675             -0.440675             -0.440675             -0.440675             
10   8    0.0        0.774215              0.774215              0.774215              0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   
11   0    0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.912732              0.912732              0.912732              
11   1    0.921672   0.0                   0.0015639999999999    0.0015639999999999    0.0015639999999999    -0.023823             -0.023823             -0.023823             0.00178199999999995   0.000208999999999904  0.000208999999999904  
11   2    0.458602   0.0                   0.000778999999999974  0.000778999999999974  0.000778999999999974  -0.011853             -0.011853             -0.011853             0.000886999999999971  0.000103999999999993  0.000103999999999993  
11   3    0.879826   0.0                   0.00149299999999997   0.00149299999999997   0.00149299999999997   -0.022742             -0.022742             -0.022742             0.00170099999999995   0.000198999999999949  0.000198999999999949  
11   4    0.736709   0.0                   0.00125000000000008   0.00125000000000008   0.00125000000000008   -0.0190419999999999   -0.0190419999999999   -0.0190419999999999   0.00142400000000009   0.000167000000000028  0.000167000000000028  
11   5    0.328897   -0.09844              -0.09844              -0.09844              -0.09844              -0.328897             -0.328897             -0.328897             -0.328897             -0.066398             -0.066398             
11   6    0.438749   0.0                   0.000744999999999996  0.000744999999999996  0.000744999999999996  -0.01134              -0.01134              -0.438749             -0.438749             -0.438749             -0.438749             
11   8    0.54012    0.230712              0.232021              0.232021              -0.54012              -0.54012              -0.54012              -0.54012              -0.54012              -0.54012              -0.54012              
11   11   0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.777726              0.777726              
12   0    0.94       0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   -0.94                 -0.94                 -0.94                 
12   1    0.798821   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   -0.798821             -0.798821             -0.798821             
12   2    0.397475   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   -0.397475             -0.397475             -0.397475             
12   3    0.762553   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   -0.762553             -0.762553             -0.762553             
12   4    0.638512   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   -0.638512             -0.638512             -0.638512             
12   5    0.285058   -0.285058             -0.285058             -0.285058             -0.285058             -0.285058             -0.285058             -0.285058             -0.285058             -0.285058             -0.285058             
12   6    0.380268   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   -0.380268             -0.380268             -0.380268             -0.380268             
12   8    0.0        0.668087              0.668087              0.668087              0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   
13   10   0.0        0.0                   0.949                 0.949                 0.949                 0.949                 0.949                 0.949                 0.949                 0.949                 0.949                 
