#s   t    P_ref      d=0.05                d=0.1                 d=0.15                d=0.2                 d=0.25                d=0.3                 d=0.35                d=0.4                 d=0.45                d=0.5                 
3    1    0.750733   -0.750733             -0.750733             -0.750733             0.100774              0.166345              0.166345              0.166345              0.166345              0.166345              0.166345              
3    2    0.373547   -0.373547             -0.373547             -0.373547             0.050143              -0.373547             -0.373547             -0.373547             -0.373547             -0.373547             -0.373547             
3    3    0.716648   -0.716648             -0.716648             -0.716648             0.096198              -0.716648             -0.716648             -0.716648             -0.716648             -0.716648             -0.716648             
3    4    0.600074   -0.600074             -0.600074             -0.600074             -0.600074             -0.600074             -0.600074             -0.600074             -0.600074             -0.600074             -0.600074             
3    5    0.267898   -0.267898             -0.267898             -0.267898             0.03596               -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             
3    6    0.357376   -0.357376             -0.357376             -0.357376             0.047972              -0.357376             -0.357376             -0.357376             -0.357376             -0.357376             -0.357376             
3    7    0.562156   -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             
3    8    0.652373   -0.652373             -0.652373             -0.652373             -0.652373             -0.652373             -0.652373             -0.652373             -0.652373             -0.652373             -0.652373             
3    10   0.608365   -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             
3    11   0.601951   -0.601951             -0.601951             -0.601951             -0.601951             -0.601951             -0.601951             -0.601951             -0.601951             -0.601951             -0.601951             
4    1    0.87054    0.0                   0.03083               0.0                   0.0                   0.067036              0.067036              0.067924              0.067924              0.067924              0.067924              
4    2    0.43316    0.0                   0.015341              0.0                   0.0                   -0.43316              -0.43316              -0.43316              -0.43316              -0.43316              -0.43316              
4    3    0.831015   0.0                   0.0294310000000001    0.0                   0.0                   -0.831015             -0.831015             -0.831015             -0.831015             -0.831015             -0.831015             
4    4    0.695838   0.0                   0.0246430000000001    0.0271560000000001    0.0271560000000001    0.0271560000000001    0.0271560000000001    0.0271560000000001    0.0271560000000001    0.0271560000000001    0.0271560000000001    
4    5    0.31065    0.0                   0.011002              0.0                   0.0                   -0.31065              -0.31065              -0.31065              -0.31065              -0.31065              -0.31065              
4    6    0.414409   0.0                   0.014676              0.0                   0.0                   -0.414409             -0.414409             -0.414409             -0.414409             -0.414409             -0.414409             
4    8    0.756482   0.0                   0.0                   0.0                   0.181563              0.181563              0.181563              -0.756482             -0.756482             -0.756482             -0.756482             
4    11   0.0        0.0                   0.0                   0.0                   0.0                   0.69363               0.69363               0.69363               0.69363               0.69363               0.69363               
7    1    0.789116   -0.00232200000000005  0.025543              -0.00232200000000005  -0.00232200000000005  0.104053              0.109387              0.110238              0.110238              0.110238              0.110238              
7    2    0.392646   -0.00115500000000002  0.012709              -0.00115500000000002  -0.00115500000000002  -0.392646             -0.392646             -0.392646             -0.392646             -0.392646             -0.392646             
