#s   t    P_ref      d=0.05                d=0.1                 d=0.15                d=0.2                 d=0.25                d=0.3                 
14   9    0.621487   0.003387000000000029  -0.12314900000000001  -0.07089299999999998  -0.30731600000000003  -0.288594             -0.35555600000000004  
14   11   0.540261   -0.0045079999999999565-0.152609             -0.04955399999999999  -0.277398             -0.204619             -0.33849799999999997  
14   16   0.593361   0.001210999999999962  -0.13593500000000003  -0.07640400000000003  -0.30175900000000005  -0.35842              -0.46628800000000004  
15   0    0.819341   -0.00181999999999993280.05434899999999998   -0.059894             -0.163404             -0.13327999999999995  -0.21531599999999995  
15   1    0.367431   -0.02139000000000002  -0.061429999999999985 -0.153114             -0.156925             -0.3074731            -0.235995             
15   2    0.763297   0.023672999999999944  -0.040914000000000006 -0.17860699999999996  -0.296173             -0.315807             -0.55246              
15   3    0.732418   0.016441999999999957  0.07387999999999995   -0.02290000000000003  0.041099              -0.15802499999999997  -0.289754             
15   4    0.749949   -0.07316699999999998  -0.19813999999999998  -0.11565199999999998  -0.324115             -0.357253             -0.508362             
15   5    0.721918   -0.05302599999999991  -0.066693             -0.08296099999999995  -0.3113719999999999   -0.3255799999999999   -0.24134499999999998  
15   6    0.86035    -0.10011499999999995  -0.2009439999999999   -0.17108099999999993  -0.31485799999999997  -0.08594399999999991  -0.3021029999999999   
15   7    0.809893   -0.11394700000000002  -0.12448199999999998  -0.11021899999999996  -0.243938             -0.06447000000000003  -0.34936199999999995  
15   9    0.889616   -0.02226499999999998  0.008855000000000057  -0.004458999999999991 -0.05096199999999995  -0.12082899999999996  -0.22442499999999999  
15   10   0.843531   -0.07704699999999998  -0.15603500000000003  -0.19301900000000005  -0.337194             -0.20571700000000004  -0.49136500000000005  
15   11   0.771294   -0.044030000000000014 -0.08340000000000003  -0.08620400000000006  -0.15721300000000005  -0.20837300000000003  -0.41763500000000003  
15   16   0.847102   -0.039993999999999974 -0.03539400000000004  -0.125363             -0.165883             -0.45307200000000003  -0.624363             
16   0    0.836692   -0.002986000000000044 0.040112000000000037  -0.15741499999999997  -0.258331             -0.12135499999999999  -0.299716             
16   1    0.375212   -0.02232099999999998  -0.06812000000000001  -0.183519             -0.189602             -0.3126955            -0.258366             
16   2    0.779461   0.023087999999999997  -0.05450299999999997  -0.25649299999999997  -0.36758299999999994  -0.31287499999999996  -0.592028             
16   3    0.747928   0.01575699999999991   0.061242999999999936  -0.11330899999999999  -0.06589300000000009  -0.14902400000000005  -0.35440200000000005  
16   4    0.76583    -0.07565              -0.212055             -0.198492             -0.39035800000000004  -0.356377             -0.55106              
16   5    0.737205   -0.05507099999999998  -0.07964400000000005  -0.16569900000000004  -0.375214             -0.323954             -0.309978             
16   6    0.878569   -0.10328400000000004  -0.216812             -0.262062             -0.397591             -0.0711170000000001   -0.38229              
16   7    0.827044   -0.11731999999999998  -0.13919000000000004  -0.20123100000000005  -0.328023             -0.04981199999999997  -0.417634             
16   9    0.908455   -0.02393400000000001  -0.006781000000000037 -0.11673900000000004  -0.168987             -0.10686200000000001  -0.317103             
16   10   0.861394   -0.07973600000000003  -0.17144800000000004  -0.27955299999999994  -0.41494              -0.19636299999999995  -0.5483199999999999   
16   11   0.787627   -0.04596599999999995  -0.09728099999999995  -0.17485799999999996  -0.24617199999999995  -0.200685             -0.473226             
16   16   0.86504    -0.04195400000000005  -0.05043900000000001  -0.21949000000000007  -0.26438700000000004  -0.45419600000000004  -0.667026             
17   0    0.887466   0.005284000000000066  -0.022580999999999962 -0.08546900000000002  -0.29425099999999993  -0.32703399999999994  -0.160412             
17   1    0.397981   -0.020096999999999976 -0.09506399999999998  -0.17165599999999998  -0.20760399999999998  -0.3490023            -0.239774             
17   2    0.826762   0.032625000000000015  -0.11165800000000004  -0.20931299999999997  -0.40430499999999997  -0.461214             -0.572982             
17   3    0.793316   0.024455000000000005  0.0048559999999999715 -0.044045             -0.09376400000000007  -0.32410300000000003  -0.26049              
17   4    0.812304   -0.07324399999999998  -0.26605600000000007  -0.14246800000000004  -0.42718900000000004  -0.49151700000000004  -0.5215110000000001   
17   5    0.781942   -0.051498000000000044 -0.13332              -0.10718499999999997  -0.410654             -0.45818000000000003  -0.20348500000000003  
17   6    0.931885   -0.10169299999999992  -0.2791239999999999   -0.20399699999999998  -0.43855399999999994  -0.2992849999999999   -0.259934             
17   7    0.877233   -0.11724500000000004  -0.19872900000000004  -0.1383580000000001   -0.36539600000000005  -0.268309             -0.3229000000000001   
17   9    0.963584   -0.01641899999999996  -0.07416699999999998  -0.028832999999999998 -0.20512399999999997  -0.33557400000000004  -0.162906             
17   10   0.913667   -0.07665100000000002  -0.23309999999999997  -0.22670800000000002  -0.455747             -0.39264699999999997  -0.489771             
17   11   0.835424   -0.04123700000000008  -0.1544620000000001   -0.1119500000000001   -0.28006300000000006  -0.37558300000000006  -0.40973100000000007  
17   16   0.917535   -0.036156999999999995 -0.11400699999999997  -0.155358             -0.30145599999999995  -0.595658             -0.649428             
