#d    avg                    abs_avg                norm
0.05  0.0                    0.0                    0.0
0.1   -0.058135953125        0.075131390625         1.4637404023497476
0.15  -0.11751220312500002   0.12465923437500004    2.0914167661427507
0.2   -0.3007060468749999    0.32203717187500003    3.5490029094934537
0.25  -0.2724164062499999    0.289820875            3.172611868457281
0.3   -0.34951962500000006   0.3733597812500001     3.7228028171298573
0.35  -0.34689089062500006   0.374325578125         3.8667734487935808
0.4   -0.5222012656249999    0.5315864843749999     4.635524952536984
0.45  -0.383316609375        0.427284296875         4.068018045157248
0.5   -0.30379735937499996   0.4021186093749999     3.928202531719183
