              0             1             2             3             4             5             6             7             8             9             10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46            47            48            49            50            51            52            53            54            55            
22            0             0             0             0.999         0             0.997002      0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0.925716      0.460615      0.739942      0.33034       0.440675      0             0.883687      
23            0             0             0             0             0             0.844         0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0.783654      0.389928      0.626389      0.279645      0.373048      0             0.748074      
24            0             0             0             0.997         0             0.995006      0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0.923863      0.459693      0.73846       0.329679      0.439793      0             0.881918      
25            0             0             0             0             0             0.824125      0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0.7652        0.380746      0.611638      0.27306       0.364263      0             0.730458      
26            0             0             0             0             0             0.85625       0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0.795028      0.395588      0.63548       0.283704      0.378463      0             0.758932      
27            0             0             0             0.999         0             0.999526      0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0.928059      0.461781      0.741815      0.331176      0.44179       0             0.885923      
28            0             0             0.8295        0.994635      0             0.992646      0             0             0             0.695544      0             0             0.603037      0             0.54012       0             0             0             0             0             0             0.83775       0             0             0             0             0             0             1             0             0             0             0             0             0.5984        0.835656      0             0             0             0             0             0             0             0             0             0             0.694431      0.666679      0             0.921672      0.458602      0.736709      0.328897      0.438749      0             0.879826      
29            0             0             0             1             0             0.998         0             0             0             0.99752       0             0             0.864849      0             0.774617      0             0             0             0             0             0             0.999927      0             0             0             0             0             0             0             1             0.979         0.812056      0.9495        0             0.858199      0.997427      0             0             0             0             0             0             0             0             0             0             0.995924      0.956122      0             0.926643      0.461076      0.740682      0.330671      0.441116      0             0.884571      
30            0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             
31            0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             
32            0             0             0             0.999348      0             0.99735       0             0             0             0.868         0             0             0.752556      0             0.674039      0             0             0             0             0             0             0.837909      0             0             0             0             0             0             0             0             0             0             1             0             0.746769      0.835815      0             0             0             0             0             0             0             0             0             0             0.866611      0.831978      0             0.926039      0.460776      0.7402        0.330455      0.440829      0             0.883995      
33            0             0             0             0.98488       0             0.98291       0             0             0             0.877817      0             0             0.761067      0             0.681663      0             0             0             0             0             0             0.879936      0             0             0             0             0             0             0             0.88          0.86152       0.714609      0.83556       1             0.755215      0.877736      0             0             0             0             0             0             0             0             0             0             0.876413      0.841388      0             0.912632      0.454105      0.729483      0.325671      0.434446      0             0.871197      
34            0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             
35            0             0             0             0.802676      0             0.80107       0             0             0             0.832333      0             0             0.721633      0             0.646343      0             0             0             0             0             0             0.803479      0             0             0             0             0             0             0             0             0             0             0             0             0.716084      1             0             0             0             0             0             0             0             0             0             0             0.831002      0.797791      0             0.743794      0.370094      0.594528      0.265421      0.354073      0             0.710024      
36            0             0             0             0.98042       0             0.978459      0             0             0             0.700187      0             0             0.607062      0             0.543725      0             0             0             0             0             0             0.675914      0             0             0             0             0             0             0             0             0             0             0.806667      0             0.602394      0.674224      1             0             0             0             0             0             0             0             0             0             0.699066      0.671129      0             0.9085        0.452048      0.72618       0.324196      0.432479      0             0.867252      
37            0             0             0             0.979         0             0.977042      0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0.907183      0.451393      0.725128      0.323727      0.431853      0             0.865995      
38            0             0             0             0.939455      0             0.937576      0             0             0             0.974167      0             0             0.844602      0             0.756482      0             0             0             0             0             0             0.940396      0             0             0             0             0             0             0             0             0             0             0             0             0.838108      0.938045      0             0             1             0             0             0             0             0             0             0             0.972608      0.933739      0             0.87054       0.43316       0.695838      0.31065       0.414409      0             0.831015      
39            0             0             0             0.833262      0             0.831596      0             0             0.942333      0.86405       0             0             0.749131      0             0.670972      0.753867      0             0             0             0             0             0.834096      0             0             0             0             0             0             0             0             0             0             0             0             0.743371      0.832011      0             0             0             1             0             0             0.625709      0.606825      0.619113      0.578183      0.862667      0.828192      0             0.772136      0.384197      0.617182      0.275535      0.367565      0             0.73708       
40            0             0             0             0.932544      0             0.930679      0             0             0             0.967         0             0             0.838389      0             0.750917      0             0             0             0             0             0             0.933477      0             0             0             0             0             0             0             0             0             0             0             0             0.831942      0.931144      0             0             0             0             1             0             0             0             0             0             0.965453      0.92687       0             0.864135      0.429974      0.690719      0.308365      0.41136       0             0.824902      
41            0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             0             
42            0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             0             0             
43            0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0.9528        0             0             0             0             0             0             0             0             0             0             
44            0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             0             
45            0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             0             
46            0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             0             0             0             
47            0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0.95225       1             0             0             0             0             0             0             0             0             
48            0             0             0             0.851586      0             0.849883      0             0             0.963056      0.883051      0             0             0.765605      0             0.685727      0.770444      0             0             0             0             0             0.852438      0             0             0             0             0             0             0             0             0             0             0             0             0.759718      0.850307      0             0             0             0             0             0             0.639469      0.620169      0.632728      0.590897      0.881638      0.846404      1             0.789116      0.392646      0.630755      0.281594      0.375648      0             0.753288      
49            0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             0             
50            0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             0             
51            0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             0             
52            0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             0             
53            0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             0             0             
54            0             0             0             0.854762      0             0.853052      0             0             0             0.886344      0             0             0.76846       0             0.688284      0             0             0             0             0             0             0.855617      0             0             0             0             0             0             0             0             0             0             0             0             0.762551      0.853478      0             0             0             0             0             0             0             0             0             0             0.884926      0.849561      0             0.792059      0.39411       0.633107      0.282645      0.377049      1             0.756098      
55            0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1             
