#d    avg                    abs_avg                norm
0.05  -0.09283261111111109   0.1101728333333333     2.9198137170775125
0.1   -0.12110814814814809   0.15010094444444444    3.072350957787212
0.15  -0.18290822222222222   0.25419498148148145    4.057061092751007
0.2   -0.38605303703703703   0.4371585185185186     5.930698323312356
0.25  -0.440869175925926     0.49408843518518536    6.4203871444878615
0.3   -0.5046430185185186    0.5479481296296297     6.711841693626869
0.35  -0.43752202777777777   0.50621125             6.3545660062222185
0.4   -0.5778256666666669    0.6027061296296296     7.21222088407905
0.45  -0.5350702592592592    0.5733634074074075     6.967694265144391
0.5   -0.488288138888889     0.5227030833333335     6.609081497885542
