#d    avg                    abs_avg                norm
0.05  -0.16710414159292036   0.23478242477876107    4.219457097483751
0.1   -0.10021609734513276   0.18814360176991152    3.3480945250268848
0.15  -0.1110485486725664    0.18323695575221233    2.7461652379796817
0.2   -0.20240391150442485   0.28040523893805314    4.169279101925175
0.25  -0.3342298053097344    0.42438599999999993    5.703037278303554
0.3   -0.15842971681415935   0.2340181592920354     3.7588758216038483
0.35  -0.20863310619469025   0.24143062831858406    4.077219155875853
0.4   -0.3448843274336285    0.3697776371681417     5.002708695165751
0.45  -0.2233430176991151    0.2869359734513275     4.449479838215811
0.5   -0.25522663716814165   0.2728592743362832     4.564184983324185
