#d    t=0.05                 t=0.1                  t=0.15                 t=0.2                  t=0.25                 
0.05  0.5221238938053098     0.415929203539823      0.3185840707964602     0.30973451327433627    0.30973451327433627    
0.1   0.6106194690265486     0.4247787610619469     0.3008849557522124     0.26548672566371684    0.20353982300884957    
0.15  0.7699115044247787     0.5929203539823009     0.4424778761061947     0.3274336283185841     0.21238938053097345    
0.2   0.7610619469026548     0.5929203539823009     0.5132743362831859     0.4336283185840708     0.3805309734513274     
0.25  0.8053097345132744     0.7168141592920354     0.6637168141592921     0.6283185840707964     0.5929203539823009     
0.3   0.6371681415929203     0.5309734513274337     0.4336283185840708     0.3805309734513274     0.3274336283185841     
0.35  0.6194690265486725     0.4778761061946903     0.415929203539823      0.2920353982300885     0.24778761061946902    
0.4   0.831858407079646      0.7787610619469026     0.6637168141592921     0.5929203539823009     0.5575221238938053     
0.45  0.6371681415929203     0.5221238938053098     0.4690265486725664     0.4336283185840708     0.39823008849557523    
0.5   0.5929203539823009     0.46017699115044247    0.4424778761061947     0.37168141592920356    0.3185840707964602     
