#s   t    P_ref      d=0.05                d=0.1                 d=0.15                d=0.2                 d=0.25                d=0.3                 d=0.35                d=0.4                 d=0.45                d=0.5                 
0    0    0.74542    0.0                   0.0                   0.0                   0.0                   0.0                   0.027421              0.027421              -0.74542              -0.74542              -0.74542              
0    1    0.834999   0.0                   0.0                   0.0                   0.0                   0.0                   0.030716              0.030716              0.030716              -0.032452             -0.032452             
0    3    0.988511   0.0                   0.0                   0.0                   0.0                   0.00889499999999999   0.008579              0.008579              0.00892899999999996   0.00890400000000002   0.00890400000000002   
0    4    0.997003   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   -0.997003             -0.997003             
0    5    0.88192    0.0                   0.0                   0.069415              0.069415              -0.88192              -0.88192              -0.88192              -0.88192              -0.88192              -0.88192              
0    6    0.66679    0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.299032              
0    7    0.948421   -0.355162             -0.355162             -0.355162             -0.355162             -0.355162             -0.355162             -0.355162             -0.355162             -0.355162             -0.355162             
0    8    0.872713   -0.872713             -0.872713             -0.872713             -0.872713             -0.872713             -0.872713             -0.872713             -0.411327             -0.444992             -0.444992             
0    9    0.948421   -0.355162             -0.355162             -0.355162             -0.355162             -0.355162             -0.355162             -0.355162             -0.355162             -0.355162             -0.355162             
0    10   0.988511   0.0                   0.0                   0.0                   0.0                   0.00889499999999999   0.008579              0.008579              0.00892899999999996   0.00890400000000002   0.00890400000000002   
0    11   0.778839   -0.0956889999999999   -0.0956889999999999   -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             0.182633              0.182633              
0    12   0.782363   0.215638              0.215638              0.215638              0.215638              0.215638              0.215638              0.215638              0.215638              0.215638              0.215638              
0    13   0.742806   -0.091262             -0.091262             -0.742806             -0.742806             -0.742806             -0.742806             -0.742806             -0.742806             0.174183              0.174183              
0    14   0.753832   -0.0926159999999999   -0.0926159999999999   -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             0.176769              0.176769              
0    15   0.738771   -0.0907659999999999   -0.0907659999999999   -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             0.173238              0.173238              
0    16   0.75437    -0.092683             -0.092683             -0.75437              -0.75437              -0.75437              -0.75437              -0.75437              -0.75437              -0.75437              -0.75437              
1    0    0.74542    0.0                   0.0                   0.0                   0.0                   0.0                   0.027421              0.027421              -0.74542              -0.74542              -0.74542              
1    1    0.834999   0.0                   0.0                   0.0                   0.0                   0.0                   0.030716              0.030716              0.030716              -0.032452             -0.032452             
1    3    0.988511   0.0                   0.0                   0.0                   0.0                   0.00889499999999999   0.008579              0.008579              0.00892899999999996   0.00890400000000002   0.00890400000000002   
1    4    0.997003   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   -0.997003             -0.997003             
1    5    0.88192    0.0                   0.0                   0.069415              0.069415              -0.88192              -0.88192              -0.88192              -0.88192              -0.88192              -0.88192              
1    6    0.66679    0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.299032              
1    7    0.948421   -0.355162             -0.355162             -0.355162             -0.355162             -0.355162             -0.355162             -0.355162             -0.355162             -0.355162             -0.355162             
1    8    0.872713   -0.872713             -0.872713             -0.872713             -0.872713             -0.872713             -0.872713             -0.872713             -0.411327             -0.444992             -0.444992             
1    9    0.948421   -0.355162             -0.355162             -0.355162             -0.355162             -0.355162             -0.355162             -0.355162             -0.355162             -0.355162             -0.355162             
1    10   0.988511   0.0                   0.0                   0.0                   0.0                   0.00889499999999999   0.008579              0.008579              0.00892899999999996   0.00890400000000002   0.00890400000000002   
1    11   0.778839   -0.0956889999999999   -0.0956889999999999   -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             0.182633              0.182633              
1    12   0.782363   0.215638              0.215638              0.215638              0.215638              0.215638              0.215638              0.215638              0.215638              0.215638              0.215638              
1    13   0.742806   -0.091262             -0.091262             -0.742806             -0.742806             -0.742806             -0.742806             -0.742806             -0.742806             0.174183              0.174183              
1    14   0.753832   -0.0926159999999999   -0.0926159999999999   -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             0.176769              0.176769              
1    15   0.738771   -0.0907659999999999   -0.0907659999999999   -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             0.173238              0.173238              
1    16   0.75437    -0.092683             -0.092683             -0.75437              -0.75437              -0.75437              -0.75437              -0.75437              -0.75437              -0.75437              -0.75437              
3    0    0.705735   -0.705735             -0.0278890000000001   -0.0278890000000001   -0.0278890000000001   -0.0278890000000001   -0.00295400000000001  -0.00295400000000001  -0.705735             -0.705735             -0.705735             
3    1    0.790545   -0.790545             -0.03124              -0.03124              -0.03124              -0.03124              -0.00330900000000001  -0.00330900000000001  -0.00330900000000001  -0.0607500000000001   -0.0607500000000001   
3    3    0.989885   -0.147637             -0.00583400000000001  -0.00583400000000001  -0.00583400000000001  -0.00539500000000004  -0.00541100000000005  -0.00541100000000005  -0.00539400000000001  -0.00539500000000004  -0.00539500000000004  
3    4    0.943924   -0.943924             -0.037301             -0.037301             -0.037301             -0.037301             -0.037301             -0.037301             -0.037301             -0.943924             -0.943924             
3    5    0.834968   -0.834968             -0.032996             0.030126              0.030126              -0.834968             -0.834968             -0.834968             -0.834968             -0.834968             -0.834968             
3    6    0.631291   -0.631291             -0.0249470000000001   -0.0249470000000001   -0.0249470000000001   -0.0249470000000001   -0.0249470000000001   -0.0249470000000001   -0.0249470000000001   -0.0249470000000001   0.246977              
3    7    0.897928   -0.0102019999999999   -0.358449             -0.358449             -0.358449             -0.358449             -0.358449             -0.358449             -0.358449             -0.358449             -0.358449             
3    8    0.826251   0.059697              -0.826251             -0.826251             -0.826251             -0.826251             -0.826251             -0.826251             -0.406691             -0.437304             -0.437304             
3    9    0.897928   -0.0102019999999999   -0.358449             -0.358449             -0.358449             -0.358449             -0.358449             -0.358449             -0.358449             -0.358449             -0.358449             
3    10   0.989885   -0.147637             -0.00583400000000001  -0.00583400000000001  -0.00583400000000001  -0.00539500000000004  -0.00541100000000005  -0.00541100000000005  -0.00539400000000001  -0.00539500000000004  -0.00539500000000004  
3    11   0.737374   -0.737374             -0.116153             -0.737374             -0.737374             -0.737374             -0.737374             -0.737374             -0.737374             0.136938              0.136938              
3    12   0.740711   -0.740711             0.166819              0.166819              0.166819              0.166819              0.166819              0.166819              0.166819              0.166819              0.166819              
3    13   0.703259   -0.703259             -0.110779             -0.703259             -0.703259             -0.703259             -0.703259             -0.703259             -0.703259             0.130603              0.130603              
3    14   0.713699   -0.713699             -0.112424             -0.713699             -0.713699             -0.713699             -0.713699             -0.713699             -0.713699             0.132541              0.132541              
3    15   0.69944    -0.69944              -0.110178             -0.69944              -0.69944              -0.69944              -0.69944              -0.69944              -0.69944              0.129893              0.129893              
3    16   0.714208   -0.714208             -0.112504             -0.714208             -0.714208             -0.714208             -0.714208             -0.714208             -0.714208             -0.714208             -0.714208             
4    0    0.744674   0.0                   0.0                   0.0                   0.0                   0.0                   0.027393              -0.744674             -0.744674             -0.744674             -0.744674             
4    1    0.834163   0.0                   0.0                   0.0                   0.0                   0.0                   0.030685              -0.834163             -0.834163             -0.834163             -0.834163             
4    3    0.998367   0.0                   0.0                   0.0                   0.0                   0.000213000000000019  0.000206000000000039  -0.129239             -0.129239             -0.129239             -0.129239             
4    4    0.996005   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   -0.996005             -0.996005             -0.996005             -0.996005             
4    5    0.881037   0.0                   0.0                   0.069346              0.069346              -0.881037             -0.881037             -0.881037             -0.881037             -0.881037             -0.881037             
4    6    0.666123   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   -0.666123             -0.666123             -0.666123             -0.666123             
4    7    0.947471   -0.354805             -0.354805             -0.354805             -0.354805             -0.354805             -0.354805             -0.947471             -0.947471             -0.947471             -0.947471             
4    8    0.87184    -0.87184              -0.87184              -0.87184              -0.87184              -0.87184              -0.87184              -0.87184              -0.87184              -0.87184              -0.87184              
4    9    0.947471   -0.354805             -0.354805             -0.354805             -0.354805             -0.354805             -0.354805             -0.947471             -0.947471             -0.947471             -0.947471             
