#s   t    P_ref      d=0.05                d=0.1                 d=0.15                d=0.2                 d=0.25                d=0.3                 d=0.35                d=0.4                 d=0.45                d=0.5                 
0    0    0.74542    0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   
0    1    0.834999   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   
0    3    0.988511   0.0                   -0.988511             -0.988511             -0.988511             -0.988511             -0.121109             -0.138944             -0.134075             -0.135158             -0.365964             
0    4    0.997003   -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             
0    5    0.88192    0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   
0    6    0.66679    0.098096              0.098096              0.098096              0.098096              0.098096              0.098096              0.276302              0.276302              0.276302              0.276302              
0    7    0.948421   0.00648700000000002   0.00648700000000002   0.00648700000000002   0.042629              0.042629              -0.267883             -0.109329             -0.109329             -0.109329             -0.109329             
0    8    0.872713   -0.013751             -0.013751             -0.141612             -0.141612             -0.872713             -0.872713             -0.872713             -0.872713             -0.872713             -0.872713             
0    9    0.948421   0.00648700000000002   0.00648700000000002   0.00648700000000002   0.042629              0.042629              -0.267883             -0.109329             -0.109329             -0.109329             -0.109329             
0    10   0.988511   0.0                   -0.988511             -0.988511             -0.988511             -0.988511             -0.121109             -0.138944             -0.134075             -0.135158             -0.365964             
0    11   0.778839   -0.0122719999999999   -0.0122719999999999   -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             0.139309              -0.154476             
0    12   0.782363   -0.012328             -0.012328             -0.012328             -0.012328             -0.782363             -0.782363             -0.782363             -0.782363             -0.782363             0.115588              
0    13   0.742806   -0.011705             -0.011705             0.116156              0.229305              0.229305              0.229305              0.209316              0.214774              0.21356               -0.0451079999999999   
0    14   0.753832   -0.0118779999999999   -0.0118779999999999   -0.0118779999999999   -0.0118779999999999   -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             
0    15   0.738771   -0.01164              -0.01164              -0.01164              -0.01164              -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             
0    16   0.75437    -0.011887             -0.011887             -0.011887             -0.011887             -0.75437              -0.75437              -0.75437              -0.75437              -0.75437              -0.75437              
1    0    0.74542    0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   
1    1    0.834999   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   
1    3    0.988511   0.0                   -0.988511             -0.988511             -0.988511             -0.988511             -0.121109             -0.138944             -0.134075             -0.135158             -0.365964             
1    4    0.997003   -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             
1    5    0.88192    0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   
1    6    0.66679    0.098096              0.098096              0.098096              0.098096              0.098096              0.098096              0.276302              0.276302              0.276302              0.276302              
1    7    0.948421   0.00648700000000002   0.00648700000000002   0.00648700000000002   0.042629              0.042629              -0.267883             -0.109329             -0.109329             -0.109329             -0.109329             
1    8    0.872713   -0.013751             -0.013751             -0.141612             -0.141612             -0.872713             -0.872713             -0.872713             -0.872713             -0.872713             -0.872713             
1    9    0.948421   0.00648700000000002   0.00648700000000002   0.00648700000000002   0.042629              0.042629              -0.267883             -0.109329             -0.109329             -0.109329             -0.109329             
1    10   0.988511   0.0                   -0.988511             -0.988511             -0.988511             -0.988511             -0.121109             -0.138944             -0.134075             -0.135158             -0.365964             
1    11   0.778839   -0.0122719999999999   -0.0122719999999999   -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             0.139309              -0.154476             
1    12   0.782363   -0.012328             -0.012328             -0.012328             -0.012328             -0.782363             -0.782363             -0.782363             -0.782363             -0.782363             0.115588              
1    13   0.742806   -0.011705             -0.011705             0.116156              0.229305              0.229305              0.229305              0.209316              0.214774              0.21356               -0.0451079999999999   
1    14   0.753832   -0.0118779999999999   -0.0118779999999999   -0.0118779999999999   -0.0118779999999999   -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             
1    15   0.738771   -0.01164              -0.01164              -0.01164              -0.01164              -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             
1    16   0.75437    -0.011887             -0.011887             -0.011887             -0.011887             -0.75437              -0.75437              -0.75437              -0.75437              -0.75437              -0.75437              
3    0    0.705735   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   
3    1    0.790545   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   
3    3    0.989885   0.0                   -0.147637             -0.147637             -0.147637             -0.147637             -0.103139             -0.104054             -0.103804             -0.181964             -0.400482             
3    4    0.943924   -0.943924             -0.943924             -0.943924             -0.943924             -0.943924             -0.943924             -0.943924             -0.943924             0.00189000000000006   0.00189000000000006   
3    5    0.834968   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   
3    6    0.631291   0.092873              0.092873              0.092873              0.092873              0.092873              0.092873              0.261592              0.261592              0.261592              0.261592              
