#s   t    P_ref      d=0.05                d=0.1                 d=0.15                d=0.2                 d=0.25                d=0.3                 d=0.35                d=0.4                 d=0.45                d=0.5                 
0    0    0.74542    0.0                   0.0                   0.0                   0.0                   0.065331              -0.74542              -0.74542              -0.74542              -0.74542              0.165585              
0    1    0.834999   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   
0    3    0.988511   0.0                   0.00933099999999998   0.00933099999999998   0.010323              0.010277              0.010446              0.010446              0.010446              0.010446              0.010123              
0    4    0.997003   0.0                   -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             
0    5    0.88192    0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   
0    6    0.66679    -0.66679              -0.66679              0.109946              0.15585               0.152151              0.165638              0.165638              0.165638              -0.66679              -0.66679              
0    7    0.948421   -0.181393             -0.181393             -0.25734              -0.216498             -0.219789             -0.207789             -0.207789             -0.207789             -0.065415             -0.0927049999999999   
0    8    0.872713   -0.107222             -0.107222             -0.872713             -0.872713             -0.872713             -0.872713             -0.872713             -0.872713             -0.872713             -0.872713             
0    9    0.948421   -0.181393             -0.181393             -0.25734              -0.216498             -0.219789             -0.207789             -0.207789             -0.207789             -0.065415             -0.0927049999999999   
0    10   0.988511   0.0                   0.00933099999999998   0.00933099999999998   0.010323              0.010277              0.010446              0.010446              0.010446              0.010446              0.010123              
0    11   0.778839   0.100579              0.100579              0.100579              0.100579              0.100579              -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             
0    12   0.782363   0.101035              0.101035              0.101035              0.101035              0.101035              -0.782363             -0.782363             -0.782363             -0.782363             -0.782363             
0    13   0.742806   0.0959260000000001    0.0959260000000001    0.0959260000000001    0.0959260000000001    0.0959260000000001    -0.742806             -0.742806             -0.742806             -0.742806             -0.742806             
0    14   0.753832   0.09735               0.09735               0.09735               0.09735               0.09735               -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             
0    15   0.738771   0.095406              0.095406              0.095406              0.095406              0.095406              -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             
0    16   0.75437    0.097419              0.097419              -0.75437              -0.75437              -0.75437              0.097419              0.097419              0.097419              0.097419              -0.75437              
1    0    0.74542    -0.74542              -0.74542              -0.74542              -0.74542              -0.74542              -0.74542              -0.74542              -0.74542              -0.74542              -0.74542              
1    1    0.834999   -0.834999             -0.834999             -0.834999             -0.834999             -0.834999             -0.834999             -0.834999             -0.834999             -0.834999             -0.834999             
1    3    0.988511   -0.988511             -0.988511             -0.988511             -0.988511             -0.988511             -0.988511             -0.988511             -0.988511             -0.988511             -0.988511             
1    4    0.997003   -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             
1    5    0.88192    -0.88192              -0.88192              -0.88192              -0.88192              -0.88192              -0.88192              -0.88192              -0.88192              -0.88192              -0.88192              
1    6    0.66679    0.00267600000000001   0.00267600000000001   -0.66679              -0.66679              -0.66679              -0.66679              -0.66679              -0.66679              -0.66679              -0.66679              
1    7    0.948421   -0.352781             -0.352781             -0.247221             -0.247221             -0.247221             -0.247221             -0.247221             -0.247221             -0.247221             -0.247221             
1    8    0.872713   -0.872713             -0.872713             -0.172918             -0.172918             -0.172918             -0.172918             -0.172918             -0.172918             -0.172918             -0.172918             
1    9    0.948421   -0.352781             -0.352781             -0.247221             -0.247221             -0.247221             -0.247221             -0.247221             -0.247221             -0.247221             -0.247221             
1    10   0.988511   -0.988511             -0.988511             -0.988511             -0.988511             -0.988511             -0.988511             -0.988511             -0.988511             -0.988511             -0.988511             
1    11   0.778839   -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             
1    12   0.782363   -0.782363             -0.782363             -0.782363             -0.782363             -0.782363             -0.782363             -0.782363             -0.782363             -0.782363             -0.782363             
1    13   0.742806   -0.742806             -0.742806             -0.742806             -0.742806             -0.742806             -0.742806             -0.742806             -0.742806             -0.742806             -0.742806             
1    14   0.753832   -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             
1    15   0.738771   -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             
1    16   0.75437    -0.75437              -0.75437              -0.75437              -0.75437              -0.75437              -0.75437              -0.75437              -0.75437              -0.75437              -0.75437              
3    0    0.705735   0.0                   0.0                   0.0                   0.0                   0.104213              0.10664               0.10664               0.10664               0.10664               0.110033              
3    1    0.790545   0.0                   0.0                   0.0                   0.0                   0.0                   -0.042837             -0.042837             -0.042837             -0.042837             -0.042837             
3    3    0.989885   0.0                   0.000479000000000007  0.000479000000000007  -0.00384400000000007  -0.0442710000000001   -0.095359             -0.095359             -0.095359             -0.095359             -0.010062             
3    4    0.943924   0.0                   -0.943924             -0.943924             -0.943924             -0.943924             -0.943924             -0.943924             -0.943924             -0.943924             -0.943924             
3    5    0.834968   0.0                   0.0                   0.0                   0.0                   0.0                   -0.0452440000000001   -0.0452440000000001   -0.0452440000000001   -0.0452440000000001   -0.0452440000000001   
3    6    0.631291   -0.631291             -0.631291             0.104092              0.181381              0.144051              0.114115              0.114115              0.114115              -0.631291             -0.631291             
3    7    0.897928   -0.171736             -0.171736             -0.24364              -0.174874             -0.208088             -0.234722             -0.234722             -0.234722             -0.107232             -0.0341699999999999   
3    8    0.826251   -0.101514             -0.101514             -0.826251             -0.826251             -0.826251             -0.826251             -0.826251             -0.826251             -0.826251             -0.826251             
3    9    0.897928   -0.171736             -0.171736             -0.24364              -0.174874             -0.208088             -0.234722             -0.234722             -0.234722             -0.107232             -0.0341699999999999   
3    10   0.989885   0.0                   0.000479000000000007  0.000479000000000007  -0.00384400000000007  -0.0442710000000001   -0.095359             -0.095359             -0.095359             -0.095359             -0.010062             
3    11   0.737374   0.095225              0.095225              0.095225              0.095225              0.095225              -0.737374             -0.737374             -0.737374             -0.737374             -0.737374             
3    12   0.740711   0.095655              0.095655              0.095655              0.095655              0.095655              -0.740711             -0.740711             -0.740711             -0.740711             -0.740711             
3    13   0.703259   0.090819              0.090819              0.090819              0.090819              0.090819              -0.703259             -0.703259             -0.703259             -0.703259             -0.703259             
3    14   0.713699   0.092167              0.092167              0.092167              0.092167              0.092167              -0.713699             -0.713699             -0.713699             -0.713699             -0.713699             
3    15   0.69944    0.090326              0.090326              0.090326              0.090326              0.090326              -0.69944              -0.69944              -0.69944              -0.69944              -0.69944              
3    16   0.714208   0.092233              0.092233              -0.714208             -0.714208             -0.714208             0.048535              0.048535              0.048535              0.048535              0.045363              
4    0    0.744674   0.0                   0.0                   0.0                   0.0                   0.067643              -0.744674             -0.744674             -0.744674             -0.744674             0.167102              
4    1    0.834163   0.0                   0.0                   0.0                   0.0                   0.0                   0.00154299999999996   0.00154299999999996   0.00154299999999996   0.00154299999999996   0.00154299999999996   
4    3    0.998367   0.0                   0.000224000000000002  0.000224000000000002  0.00100599999999995   -0.000578999999999996 0.00143700000000002   0.00143700000000002   0.00143700000000002   0.00143700000000002   0.00111300000000003   
4    4    0.996005   0.0                   -0.996005             -0.996005             -0.996005             -0.996005             -0.996005             -0.996005             -0.996005             -0.996005             -0.996005             
4    5    0.881037   0.0                   0.0                   0.0                   0.0                   0.0                   0.00163000000000002   0.00163000000000002   0.00163000000000002   0.00163000000000002   0.00163000000000002   
4    6    0.666123   -0.666123             -0.666123             0.109835              0.157025              0.151998              0.167011              0.167011              0.167011              -0.666123             -0.666123             
4    7    0.947471   -0.181211             -0.181211             -0.257082             -0.215096             -0.219569             -0.206212             -0.206212             -0.206212             -0.0637169999999999   -0.0910299999999999   
4    8    0.87184    -0.107115             -0.107115             -0.87184              -0.87184              -0.87184              -0.87184              -0.87184              -0.87184              -0.87184              -0.87184              
4    9    0.947471   -0.181211             -0.181211             -0.257082             -0.215096             -0.219569             -0.206212             -0.206212             -0.206212             -0.0637169999999999   -0.0910299999999999   
4    10   0.998367   0.0                   0.000224000000000002  0.000224000000000002  0.00100599999999995   -0.000578999999999996 0.00143700000000002   0.00143700000000002   0.00143700000000002   0.00143700000000002   0.00111300000000003   
4    11   0.778059   0.100479              0.100479              0.100479              0.100479              0.100479              -0.778059             -0.778059             -0.778059             -0.778059             -0.778059             
4    12   0.78158    0.100933              0.100933              0.100933              0.100933              0.100933              -0.78158              -0.78158              -0.78158              -0.78158              -0.78158              
4    13   0.742062   0.09583               0.09583               0.09583               0.09583               0.09583               -0.742062             -0.742062             -0.742062             -0.742062             -0.742062             
4    14   0.753077   0.097253              0.097253              0.097253              0.097253              0.097253              -0.753077             -0.753077             -0.753077             -0.753077             -0.753077             
4    15   0.738032   0.09531               0.09531               0.09531               0.09531               0.09531               -0.738032             -0.738032             -0.738032             -0.738032             -0.738032             
4    16   0.753615   0.097322              0.097322              -0.753615             -0.753615             -0.753615             0.098896              0.098896              0.098896              0.098896              -0.753615             
5    0    0.74542    0.0                   0.0                   0.0                   0.0                   0.066947              -0.74542              -0.74542              -0.74542              -0.74542              0.166443              
5    1    0.834999   0.0                   0.0                   0.0                   0.0                   0.0                   0.000786999999999982  0.000786999999999982  0.000786999999999982  0.000786999999999982  0.000786999999999982  
