#s   t    P_ref      d=0.05                d=0.1                 d=0.15                d=0.2                 d=0.25                d=0.3                 d=0.35                d=0.4                 d=0.45                d=0.5                 
0    0    0.74542    0.0                   0.0                   -0.038647             -0.038647             -0.038647             -0.74542              -0.74542              -0.74542              -0.74542              -0.74542              
0    1    0.834999   0.0                   0.0                   -0.0432910000000001   -0.0432910000000001   -0.0432910000000001   -0.834999             -0.834999             -0.834999             -0.834999             -0.834999             
0    3    0.988511   0.0                   0.0                   0.0                   0.00607999999999997   0.00607999999999997   0.010489              0.010489              0.010489              0.010489              0.010489              
0    4    0.997003   0.0                   0.0                   0.0                   0.0                   -0.117035             -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             
0    5    0.88192    0.0                   0.068257              0.068257              0.0                   0.0                   -0.88192              -0.88192              -0.88192              -0.88192              -0.88192              
0    6    0.66679    0.0                   0.0                   0.036461              0.036461              0.036461              -0.66679              -0.66679              -0.66679              -0.66679              -0.66679              
0    7    0.948421   0.0200020000000001    0.0200020000000001    0.0200020000000001    -0.0739559999999999   0.042347              -0.948421             -0.948421             -0.948421             -0.948421             -0.948421             
0    8    0.872713   0.0                   0.0                   0.0                   0.0                   0.116071              -0.872713             -0.872713             -0.872713             -0.872713             -0.872713             
0    9    0.948421   0.0200020000000001    0.0200020000000001    0.0200020000000001    -0.0739559999999999   0.042347              -0.948421             -0.948421             -0.948421             -0.948421             -0.948421             
0    10   0.988511   0.0                   0.0                   0.0                   0.00607999999999997   0.00607999999999997   0.010489              0.010489              0.010489              0.010489              0.010489              
0    11   0.778839   0.0                   0.0                   -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             
0    12   0.782363   0.0                   0.0                   0.0                   -0.782363             -0.782363             -0.782363             -0.782363             -0.782363             -0.782363             -0.782363             
0    13   0.742806   0.0                   -0.742806             -0.0217889999999999   -0.742806             -0.742806             -0.742806             -0.742806             -0.742806             -0.742806             -0.742806             
0    14   0.753832   0.0                   0.0                   0.0                   -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             
0    15   0.738771   0.0                   0.0                   0.0                   -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             
0    16   0.75437    -0.161111             -0.161111             -0.128671             -0.128671             -0.128671             -0.75437              -0.75437              -0.75437              -0.75437              -0.75437              
1    0    0.74542    0.0                   0.0                   -0.038647             -0.038647             -0.038647             -0.038647             0.063708              0.063708              0.063708              0.063708              
1    1    0.834999   0.0                   0.0                   -0.0432910000000001   -0.0432910000000001   -0.0432910000000001   -0.0432910000000001   -0.834999             -0.834999             -0.0944160000000001   -0.0944010000000001   
1    3    0.988511   0.0                   0.0                   0.0                   0.00607999999999997   0.00607999999999997   -0.409433             -0.409433             -0.409433             -0.409433             -0.4669               
1    4    0.997003   0.0                   0.0                   0.0                   0.0                   -0.117035             -0.117035             -0.117035             -0.053457             -0.053457             -0.053457             
1    5    0.88192    0.0                   0.068257              0.068257              0.0                   0.0                   0.0                   0.0                   -0.0594250000000001   -0.163471             -0.163457             
1    6    0.66679    0.0                   0.0                   0.036461              0.036461              0.036461              0.036461              0.036461              0.036461              0.036461              0.036461              
1    7    0.948421   0.0200020000000001    0.0200020000000001    0.0200020000000001    -0.0739559999999999   0.042347              0.042347              0.042347              0.042347              0.042347              0.042347              
1    8    0.872713   0.0                   0.0                   0.0                   0.0                   0.116071              0.116071              0.116071              0.116071              0.116071              0.116071              
1    9    0.948421   0.0200020000000001    0.0200020000000001    0.0200020000000001    -0.0739559999999999   0.042347              0.042347              0.042347              0.042347              0.042347              0.042347              
1    10   0.988511   0.0                   0.0                   0.0                   0.00607999999999997   0.00607999999999997   -0.409433             -0.409433             -0.409433             -0.409433             -0.4669               
1    11   0.778839   0.0                   0.0                   -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             
1    12   0.782363   0.0                   0.0                   0.0                   -0.782363             -0.782363             -0.782363             -0.782363             -0.782363             -0.782363             -0.782363             
1    13   0.742806   0.0                   -0.742806             -0.0217889999999999   -0.742806             -0.742806             -0.742806             -0.742806             -0.742806             -0.742806             -0.742806             
1    14   0.753832   0.0                   0.0                   0.0                   -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             
1    15   0.738771   0.0                   0.0                   0.0                   -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             
1    16   0.75437    -0.161111             -0.161111             -0.128671             -0.128671             -0.128671             -0.128671             -0.128671             -0.128671             -0.128671             -0.128671             
3    0    0.705735   0.0                   0.0                   -0.03659              -0.03659              -0.03659              -0.03659              0.060316              0.060316              0.060316              0.060316              
3    1    0.790545   0.0                   0.0                   -0.0409870000000001   -0.0409870000000001   -0.0409870000000001   -0.0409870000000001   -0.790545             -0.790545             -0.0893900000000001   -0.089376             
3    3    0.989885   0.0                   0.0                   0.0                   0.000311999999999979  0.000311999999999979  -0.11793              -0.11793              -0.11793              -0.11793              -0.120878             
3    4    0.943924   0.0                   0.0                   0.0                   0.0                   -0.110805             -0.110805             -0.110805             -0.050612             -0.050612             -0.050612             
3    5    0.834968   0.0                   0.064622              0.064622              0.0                   0.0                   0.0                   0.0                   -0.056262             -0.154768             -0.154755             
3    6    0.631291   0.0                   0.0                   0.03452               0.03452               0.03452               0.03452               0.03452               0.03452               0.03452               0.03452               
3    7    0.897928   0.0189370000000001    0.0189370000000001    0.0189370000000001    -0.0700189999999999   0.040093              0.040093              0.040093              0.040093              0.040093              0.040093              
3    8    0.826251   0.0                   0.0                   0.0                   0.0                   0.109891              0.109891              0.109891              0.109891              0.109891              0.109891              
3    9    0.897928   0.0189370000000001    0.0189370000000001    0.0189370000000001    -0.0700189999999999   0.040093              0.040093              0.040093              0.040093              0.040093              0.040093              
3    10   0.989885   0.0                   0.0                   0.0                   0.000311999999999979  0.000311999999999979  -0.11793              -0.11793              -0.11793              -0.11793              -0.120878             
3    11   0.737374   0.0                   0.0                   -0.737374             -0.737374             -0.737374             -0.737374             -0.737374             -0.737374             -0.737374             -0.737374             
3    12   0.740711   0.0                   0.0                   0.0                   -0.740711             -0.740711             -0.740711             -0.740711             -0.740711             -0.740711             -0.740711             
3    13   0.703259   0.0                   -0.703259             -0.020629             -0.703259             -0.703259             -0.703259             -0.703259             -0.703259             -0.703259             -0.703259             
3    14   0.713699   0.0                   0.0                   0.0                   -0.713699             -0.713699             -0.713699             -0.713699             -0.713699             -0.713699             -0.713699             
3    15   0.69944    0.0                   0.0                   0.0                   -0.69944              -0.69944              -0.69944              -0.69944              -0.69944              -0.69944              -0.69944              
3    16   0.714208   -0.152533             -0.152533             -0.12182              -0.12182              -0.12182              -0.12182              -0.12182              -0.12182              -0.12182              -0.12182              
4    0    0.744674   0.0                   0.0                   -0.038608             -0.038608             -0.038608             -0.038608             0.063644              0.063644              0.063644              0.063644              
4    1    0.834163   0.0                   0.0                   -0.043248             -0.043248             -0.043248             -0.043248             -0.834163             -0.834163             -0.094321             -0.094307             
4    3    0.998367   0.0                   0.0                   0.0                   0.000145999999999979  0.000145999999999979  -0.115355             -0.115355             -0.115355             -0.115355             -0.116733             
4    4    0.996005   0.0                   0.0                   0.0                   0.0                   -0.116918             -0.116918             -0.116918             -0.053404             -0.053404             -0.053404             
4    5    0.881037   0.0                   0.0681890000000001    0.0681890000000001    0.0                   0.0                   0.0                   0.0                   -0.059365             -0.163307             -0.163293             
4    6    0.666123   0.0                   0.0                   0.036424              0.036424              0.036424              0.036424              0.036424              0.036424              0.036424              0.036424              
4    7    0.947471   0.0199830000000001    0.0199830000000001    0.0199830000000001    -0.073881             0.0423060000000001    0.0423060000000001    0.0423060000000001    0.0423060000000001    0.0423060000000001    0.0423060000000001    
4    8    0.87184    0.0                   0.0                   0.0                   0.0                   0.115954              0.115954              0.115954              0.115954              0.115954              0.115954              
4    9    0.947471   0.0199830000000001    0.0199830000000001    0.0199830000000001    -0.073881             0.0423060000000001    0.0423060000000001    0.0423060000000001    0.0423060000000001    0.0423060000000001    0.0423060000000001    
4    10   0.998367   0.0                   0.0                   0.0                   0.000145999999999979  0.000145999999999979  -0.115355             -0.115355             -0.115355             -0.115355             -0.116733             
4    11   0.778059   0.0                   0.0                   -0.778059             -0.778059             -0.778059             -0.778059             -0.778059             -0.778059             -0.778059             -0.778059             
4    12   0.78158    0.0                   0.0                   0.0                   -0.78158              -0.78158              -0.78158              -0.78158              -0.78158              -0.78158              -0.78158              
4    13   0.742062   0.0                   -0.742062             -0.021767             -0.742062             -0.742062             -0.742062             -0.742062             -0.742062             -0.742062             -0.742062             
4    14   0.753077   0.0                   0.0                   0.0                   -0.753077             -0.753077             -0.753077             -0.753077             -0.753077             -0.753077             -0.753077             
4    15   0.738032   0.0                   0.0                   0.0                   -0.738032             -0.738032             -0.738032             -0.738032             -0.738032             -0.738032             -0.738032             
4    16   0.753615   -0.160949             -0.160949             -0.128542             -0.128542             -0.128542             -0.128542             -0.128542             -0.128542             -0.128542             -0.128542             
5    0    0.74542    0.0                   0.0                   -0.038647             -0.038647             -0.038647             -0.038647             0.063708              0.063708              0.063708              0.063708              
5    1    0.834999   0.0                   0.0                   -0.0432910000000001   -0.0432910000000001   -0.0432910000000001   -0.0432910000000001   -0.834999             -0.834999             -0.093712             -0.093712             
5    3    0.998691   -0.01018              -0.01018              -0.01018              -0.00409999999999999  -0.00409999999999999  -0.419613             -0.419613             -0.419613             -0.418569             -0.427282             
