#s   t    P_ref      d=0.05                d=0.1                 d=0.15                d=0.2                 d=0.25                d=0.3                 d=0.35                d=0.4                 d=0.45                d=0.5                 
0    0    0.74542    0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   
0    1    0.834999   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   -0.834999             
0    3    0.988511   0.0                   0.0                   0.00775700000000001   0.00775700000000001   0.00775700000000001   0.0                   0.0                   0.0                   0.0                   0.0                   
0    4    0.997003   0.0                   0.0                   0.0                   0.0                   -0.997003             -0.997003             -0.051684             -0.051684             -0.051684             -0.051684             
0    5    0.88192    0.0                   0.0                   0.0                   0.0                   0.0                   0.0791379999999999    0.0791379999999999    0.07895               0.07895               0.07895               
0    6    0.66679    0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   -0.044853             -0.044853             
0    7    0.948421   0.025613              0.025613              0.025613              0.025613              0.025613              0.025613              -0.355162             -0.355162             -0.395068             -0.395068             
0    8    0.872713   0.0629390000000001    0.0629390000000001    0.0629390000000001    0.0629390000000001    0.0629390000000001    0.12279               0.12279               0.125165              0.125165              0.125165              
0    9    0.948421   0.025613              0.025613              0.025613              0.025613              0.025613              0.025613              -0.355162             -0.355162             -0.395068             -0.395068             
0    10   0.988511   0.0                   0.0                   0.00775700000000001   0.00775700000000001   0.00775700000000001   0.0                   0.0                   0.0                   0.0                   0.0                   
0    11   0.778839   0.0                   0.0                   0.0                   0.0                   0.0                   -0.778839             -0.778839             -0.778839             -0.778839             0.133696              
0    12   0.782363   0.023643              0.023643              0.023643              0.023643              0.023643              -0.782363             -0.782363             -0.782363             -0.782363             -0.782363             
0    13   0.742806   0.0                   0.0                   -0.742806             -0.742806             -0.742806             -0.742806             -0.742806             -0.742806             -0.742806             -0.742806             
0    14   0.753832   0.0                   0.0                   0.0                   0.0                   0.0                   -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             
0    15   0.738771   0.0                   0.0                   -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             
0    16   0.75437    -0.022128             -0.022128             -0.022128             -0.022128             -0.022128             -0.75437              -0.75437              -0.75437              -0.75437              -0.75437              
1    0    0.74542    0.0                   0.0                   -0.74542              -0.74542              -0.74542              -0.74542              -0.74542              -0.74542              -0.74542              -0.74542              
1    1    0.834999   0.0                   0.0                   -0.834999             -0.834999             -0.834999             -0.834999             -0.834999             -0.834999             -0.834999             -0.834999             
1    3    0.988511   0.0                   0.0                   -0.988511             -0.988511             -0.988511             -0.988511             -0.988511             -0.988511             -0.988511             -0.988511             
1    4    0.997003   0.0                   0.0                   -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             -0.997003             
1    5    0.88192    0.0                   0.0                   -0.88192              -0.88192              -0.88192              -0.88192              -0.88192              -0.88192              -0.88192              -0.88192              
1    6    0.66679    0.0                   0.0                   -0.66679              -0.66679              -0.66679              -0.66679              -0.66679              -0.66679              -0.66679              -0.66679              
1    7    0.948421   0.025613              0.025613              -0.948421             -0.948421             -0.948421             -0.948421             -0.948421             -0.948421             -0.948421             -0.948421             
1    8    0.872713   0.0629390000000001    0.0629390000000001    -0.872713             -0.872713             -0.872713             -0.872713             -0.872713             -0.872713             -0.872713             -0.872713             
1    9    0.948421   0.025613              0.025613              -0.948421             -0.948421             -0.948421             -0.948421             -0.948421             -0.948421             -0.948421             -0.948421             
1    10   0.988511   0.0                   0.0                   -0.988511             -0.988511             -0.988511             -0.988511             -0.988511             -0.988511             -0.988511             -0.988511             
1    11   0.778839   0.0                   0.0                   -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             -0.778839             
1    12   0.782363   0.023643              0.023643              -0.782363             -0.782363             -0.782363             -0.782363             -0.782363             -0.782363             -0.782363             -0.782363             
1    13   0.742806   0.0                   0.0                   0.177861              0.177861              0.177861              0.177861              0.177861              0.177861              0.177861              0.177861              
1    14   0.753832   0.0                   0.0                   -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             
1    15   0.738771   0.0                   0.0                   -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             -0.738771             
1    16   0.75437    -0.022128             -0.022128             -0.75437              -0.75437              -0.75437              -0.75437              -0.75437              -0.75437              -0.75437              -0.75437              
3    0    0.705735   0.0                   0.0                   0.0                   0.0323639999999999    0.0323639999999999    0.037664              0.0                   0.0                   0.0                   0.0                   
3    1    0.790545   0.0                   0.0                   0.0                   0.036253              0.036253              0.0421889999999999    0.0                   0.0                   0.0                   -0.790545             
3    3    0.989885   0.0                   0.0                   -0.046658             -0.00328200000000001  -0.00328200000000001  -0.00405600000000006  -0.054002             -0.054002             -0.054002             -0.054002             
3    4    0.943924   0.0                   0.0                   0.0                   0.043286              -0.943924             -0.943924             0.00204700000000002   0.00204700000000002   0.00204700000000002   0.00204700000000002   
3    5    0.834968   0.0                   0.0                   0.0                   0.0382899999999999    0.0382899999999999    0.126314              0.121223              0.074746              0.074746              0.074746              
3    6    0.631291   0.0                   0.0                   0.0                   0.0289499999999999    0.0289499999999999    0.0336909999999999    0.0                   0.0                   -0.0424650000000001   -0.0424650000000001   
3    7    0.897928   0.0242500000000001    0.0242500000000001    0.0242500000000001    0.076326              0.076326              0.0747890000000001    -0.336253             -0.336253             -0.374035             -0.374035             
3    8    0.826251   0.0595880000000001    0.0595880000000001    0.0595880000000001    0.110046              0.110046              0.166552              0.116253              0.172315              0.172315              0.172315              
3    9    0.897928   0.0242500000000001    0.0242500000000001    0.0242500000000001    0.076326              0.076326              0.0747890000000001    -0.336253             -0.336253             -0.374035             -0.374035             
3    10   0.989885   0.0                   0.0                   -0.046658             -0.00328200000000001  -0.00328200000000001  -0.00405600000000006  -0.054002             -0.054002             -0.054002             -0.054002             
3    11   0.737374   0.0                   0.0                   0.0                   0.042002              0.042002              -0.737374             -0.737374             -0.737374             -0.737374             0.126578              
3    12   0.740711   0.022384              0.022384              0.022384              0.06585               0.06585               -0.740711             -0.740711             -0.740711             -0.740711             -0.740711             
3    13   0.703259   0.0                   0.0                   -0.703259             -0.703259             -0.703259             -0.703259             -0.703259             -0.703259             -0.703259             -0.703259             
3    14   0.713699   0.0                   0.0                   0.0                   0.040652              0.040652              -0.713699             -0.713699             -0.713699             -0.713699             -0.713699             
3    15   0.69944    0.0                   0.0                   0.142808              -0.69944              -0.69944              -0.69944              -0.69944              -0.69944              -0.69944              -0.69944              
3    16   0.714208   -0.0209499999999999   -0.0209499999999999   -0.0209499999999999   0.0185380000000001    0.0185380000000001    -0.714208             -0.714208             -0.714208             -0.714208             -0.714208             
4    0    0.744674   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   
4    1    0.834163   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   -0.834163             
4    3    0.998367   0.0                   0.0                   -0.00309700000000002  -0.00309700000000002  -0.00309700000000002  -0.010846             -0.010846             -0.010846             -0.010846             -0.010846             
4    4    0.996005   0.0                   0.0                   0.0                   0.0                   -0.996005             -0.996005             -0.051632             -0.051632             -0.051632             -0.051632             
4    5    0.881037   0.0                   0.0                   0.0                   0.0                   0.0                   0.079059              0.079059              0.078871              0.078871              0.078871              
4    6    0.666123   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   -0.0448080000000001   -0.0448080000000001   
