#d    t=0.05                 t=0.1                  t=0.15                 t=0.2                  t=0.25                 
0.05  0.2962962962962963     0.12037037037037036    0.12037037037037036    0.12037037037037036    0.12037037037037036    
0.1   0.6759259259259259     0.6018518518518519     0.5370370370370371     0.5                    0.46296296296296297    
0.15  0.7407407407407407     0.6759259259259259     0.5                    0.46296296296296297    0.3888888888888889     
0.2   0.7407407407407407     0.5555555555555556     0.46296296296296297    0.4074074074074074     0.37962962962962965    
0.25  0.7962962962962963     0.6574074074074074     0.5370370370370371     0.5092592592592593     0.5                    
0.3   0.8611111111111112     0.7407407407407407     0.6481481481481481     0.5925925925925926     0.5648148148148148     
0.35  0.9629629629629629     0.9259259259259259     0.7962962962962963     0.7592592592592593     0.7407407407407407     
0.4   0.8611111111111112     0.8148148148148148     0.7129629629629629     0.6296296296296297     0.6111111111111112     
0.45  0.8703703703703703     0.8518518518518519     0.75                   0.7129629629629629     0.6944444444444444     
0.5   0.7407407407407407     0.6851851851851852     0.6481481481481481     0.6203703703703703     0.6018518518518519     
