#d    avg                    abs_avg                norm
0.05  -0.09003572222222221   0.11214983333333332    2.942851504185014
0.1   -0.2838075370370369    0.3260624259259259     4.881272456933129
0.15  -0.2458442962962963    0.30272225925925916    4.488041532465581
0.2   -0.27846050925925925   0.34598097222222224    5.293652545589008
0.25  -0.36261670370370347   0.42300703703703707    5.849250765939171
0.3   -0.4531553796296294    0.4934538425925927     6.413239829604768
0.35  -0.5997718518518518    0.6518111851851851     7.594071734076392
0.4   -0.4664459907407411    0.5318860092592594     6.708336937062792
0.45  -0.5676490370370375    0.6043545925925928     7.266580580935851
0.5   -0.4727243425925925    0.496681509259259      6.469139651856884
