#term       reachability  enrichment
231         1             -0.0
5664        0.999999      2.4277482359480533
22086       0.999999      2.9385738597140447
10804       0.999999      0.7230001437096298
21105       0.999998      0.125163142954019
66          0.999998      0.3908663086870133
6729        0.999962      3.120895416507998
20961       0.999952      1.5804503755608525
25633       0.999915      3.120895416507998
31298       0.999886      2.0912759993268413
8101        0.999886      3.4215596060630387
18042       0.999879      1.8681324480126307
15311       0.999875      2.4693961347589477
11167       0.999871      0.4084106183379259
10782       0.999871      0.4084106183379259
27067       0.99977       2.2046046846338427
14874       0.999489      3.814042597067943
990         0.999335      1.0840134892469566
16233       0.999203      0.5522591220043334
12647       0.999201      0.0923733201310165
3934        0.998979      5.135798437050262
2939        0.998962      2.103252190373555
20012       0.998691      4.9126548857360515
4073        0.99824       0.5796107414174061
10898       0.99756       1.0840134892469566
7701        0.990816      0.01396257081449749
977         0.988511      3.814042597067943
5743        0.988204      6.661338147750941e-16
2920        0.985019      0.5432070332690309
27160       0.968167      -2.2204460492503128e-16
23949       0.966884      6.661338147750941e-16
27048       0.966884      6.661338147750941e-16
4575        0.963769      -2.2204460492503128e-16
33899       0.961893      -2.2204460492503128e-16
14411       0.961893      -2.2204460492503128e-16
16353       0.958752      -2.2204460492503128e-16
22312       0.957772      1.1893740049047838
33290       0.950044      6.661338147750941e-16
10975       0.933928      -2.2204460492503128e-16
6730        0.933619      6.661338147750941e-16
25184       0.91765       -2.2204460492503128e-16
26577       0.913804      -2.2204460492503128e-16
4128        0.88961       1.1015577988978715
3935        0.881037      0.12516314295400605
6728        0.87369       1.1102230246251565e-16
28570       0.872713      1.1102230246251565e-16
25724       0.872713      1.1102230246251565e-16
8330        0.835835      -2.2204460492503128e-16
14251       0.834999      1.1102230246251565e-16
14372       0.818641      1.1102230246251565e-16
6220        0.816426      1.1102230246251565e-16
8349        0.779617      1.1102230246251565e-16
14238       0.753832      1.1102230246251565e-16
6105        0.753832      1.1102230246251565e-16
16893       0.74542       1.1102230246251565e-16
26578       0.738771      1.1102230246251565e-16
10798       0             0.8873031950009028
20604       0             0.12516314295400605
1028        0             1.1102230246251565e-16
30843       0             1.1102230246251565e-16
26988       0             0.12516314295400605
20031       0             1.1102230246251565e-16
