#d    avg                    abs_avg                norm
0.05  -0.16610688495575224   0.19867575221238937    3.8998128072780625
0.1   -0.22061654867256647   0.2532169380530975     4.415658229522978
0.15  -0.27967284070796466   0.3004328761061947     4.935785167413285
0.2   -0.25778030088495585   0.3085125840707964     4.75270188447224
0.25  -0.35000443362831835   0.41904262831858413    5.704681507395044
0.3   -0.3985764424778763    0.4377767433628317     5.933229499611657
0.35  -0.4098423628318584    0.43724933628318574    5.998883277465981
0.4   -0.20015238938053104   0.22697012389380541    4.063203116374322
0.45  -0.1707574690265487    0.23897270796460177    4.0804863388760415
0.5   -0.2622636106194691    0.29334263716814163    4.854187387859064
