#s   t    P_ref      d=0.05                d=0.1                 d=0.15                d=0.2                 d=0.25                d=0.3                 
6    10   0.884267   -0.05251499999999998  -0.11247600000000002  -0.14176100000000003  -0.21281700000000003  -0.35561700000000007  -0.44501500000000005  
6    11   0.843509   -0.11937199999999992  -0.07045899999999994  -0.1277879999999999   -0.3267979999999999   -0.45099199999999995  -0.6396139999999999   
6    12   0.847326   -0.09557100000000007  -0.12265000000000004  -0.06800700000000004  -0.27977799999999997  -0.41185000000000005  -0.571685             
6    13   0.804484   -0.052363999999999966 -0.019704999999999973 -0.08860000000000001  -0.13222199999999995  -0.155725             -0.350827             
6    14   0.816426   -0.035699000000000036 -0.079264             -0.07239200000000001  -0.028189999999999937 -0.226194             -0.486189             
6    15   0.800115   -0.08670800000000001  -0.01599600000000001  -0.06665500000000002  -0.10517100000000001  -0.339625             -0.38345500000000005  
6    16   0.817008   -0.044870999999999994 -0.08469299999999991  0.002555000000000085  -0.026376999999999984 -0.1973959999999999   -0.42206699999999997  
7    3    0.888719   -0.04081000000000001  -0.023534000000000055 -0.15952600000000006  -0.246996             -0.37819900000000006  -0.411266             
7    7    0.871647   -0.045393999999999934 -0.31419299999999994  -0.5485169999999999   -0.645836             -0.7865734            -0.86204962           
7    8    0.869902   -0.02543799999999996  -0.28885399999999994  -0.495144             -0.545148             -0.7392489999999999   -0.8565047            
7    9    0.871647   -0.045393999999999934 -0.31419299999999994  -0.5485169999999999   -0.645836             -0.7865734            -0.86204962           
7    10   0.888719   -0.04081000000000001  -0.023534000000000055 -0.15952600000000006  -0.246996             -0.37819900000000006  -0.411266             
7    11   0.843509   -0.12213599999999991  -0.09310699999999994  -0.24908299999999994  -0.25187099999999996  -0.38299199999999994  -0.647901             
7    12   0.847326   -0.09843999999999997  -0.14388100000000004  -0.20008000000000004  -0.19747900000000007  -0.336407             -0.5828880000000001   
7    13   0.804484   -0.055234000000000005 -0.042695999999999956 -0.20992299999999997  -0.034738999999999964 -0.043332999999999955 -0.369266             
7    14   0.816426   -0.03867799999999999  -0.10086099999999998  -0.19848599999999994  0.08611000000000002   -0.12394099999999997  -0.49961099999999997  
7    15   0.800115   -0.08943100000000004  -0.03896900000000003  -0.19095700000000004  -0.004399000000000042 -0.259849             -0.40039              
7    16   0.817008   -0.047817             -0.10614799999999991  -0.136339             0.08827000000000007   -0.09005299999999994  -0.438119             
8    3    0.88961    -0.05416200000000004  -0.06207499999999999  -0.10546500000000003  -0.23609999999999998  -0.304357             -0.460165             
8    10   0.88961    -0.05416200000000004  -0.06207499999999999  -0.10546500000000003  -0.23609999999999998  -0.304357             -0.460165             
9    2    0.945814   -0.02333800000000008  -0.045082000000000066 -0.09725800000000007  -0.060975             0.011335999999999902  -0.266996             
9    3    0.884267   -0.02773800000000004  -0.016954000000000025 -0.12992700000000001  -0.19106500000000004  -0.44637000000000004  -0.537787             
9    5    0.919568   0.024797999999999987  -0.0374810000000001   -0.17050500000000002  -0.29243700000000006  -0.3151670000000001   -0.35463100000000003  
9    10   0.884267   -0.02773800000000004  -0.016954000000000025 -0.12992700000000001  -0.19106500000000004  -0.44637000000000004  -0.537787             
